time,mag_max,event_count,mag_mean,mag_sum,longitude_mean,latitude_mean,depth_mean,time_diff_float_mean,TimeDifFloatStdNew,DepthStdNew,LatitudeStdNew,LongitudeStdNew,MagScatterNew,Weight(Richter),Weight(Mw)
16/12/1926,5.8,1,5.8,5.8,31.031,40.679,15,24350100,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
24/01/1928,5.44,1,5.44,5.44,31.055,41.987,15,34868520,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
05/02/1928,6.23,1,6.23,6.23,29.121,39.627,15,1088280,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.01,5
10/03/1928,5.34,1,5.34,5.34,33.456,40.497,15,2862180,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
10/04/1928,5.48,1,5.48,5.48,33.496,40.072,15,2715420,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
04/05/1929,5.24,1,5.24,5.24,30.819,41.45,15,33654240,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
18/05/1929,6.28,1,6.28,6.28,38.096,40.266,15,1148340,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.01,5
21/08/1929,5.06,1,5.06,5.06,35.695,41.4,15,8189220,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
15/09/1929,5.53,1,5.53,5.53,39.029,39.697,15,2202360,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
04/09/1930,5.37,1,5.37,5.37,39.194,40.403,15,30557820,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
12/10/1930,5.81,1,5.81,5.81,39.152,39.972,15,3301440,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
31/07/1931,5.18,1,5.18,5.18,40.127,40.065,10,-11224740,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
18/08/1931,5.54,1,5.54,5.54,24.26,39.596,15,1588920,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
07/12/1931,5.58,1,5.58,5.58,25.583,39.337,15,36417180,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
15/05/1933,5.16,1,5.16,5.16,31.382,41.129,15,54927240,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
21/12/1933,5.15,1,5.15,5.15,33.489,41.197,15,19063140,5236568.919,4.144763893,0.20492289,0.799703251,0.498129236,0.001,4
01/04/1935,6.34,2,6.175,12.35,27.503,40.642,12.5,20127000,28455475.94,3.535533906,0.031112698,0.073539105,0.233345238,0.01,5
13/10/1935,5.49,1,5.49,5.49,40.582,39.11,15,16859520,25568377.06,2.256444645,0.061299205,0.105004701,0.192414381,0.001,4
22/10/1935,5.35,1,5.35,5.35,27.203,39.711,15,734220,25435126.34,2.197409756,0.062692428,0.106456959,0.190525265,0.001,4
21/09/1936,5.6,2,5.515,11.03,33.2415,41.262,15,14480940,20475238.51,3.680065,0.114551299,0.160513239,0.120208153,0.001,4
22/09/1936,5.27,1,5.27,5.27,33.135,41.131,15,84540,20469438.35,0.006148755,0.114479973,0.160239005,0.121351821,0.001,4
18/11/1936,5.67,1,5.67,5.67,33.502,41.118,15,4938840,20138828.69,0.356627768,0.110414416,0.144607641,0.186540918,0.001,4
12/07/1937,5.17,1,5.17,5.17,39.918,39.475,15,20367600,18769988.7,1.807733858,0.093581586,0.079888309,0.45644665,0.001,4
07/02/1938,5.17,1,5.17,5.17,28.089,39.385,15,-9788880,17551953.13,3.098972328,0.07860322,0.022299074,0.696617006,0.001,4
19/04/1938,6.62,2,6.07,12.14,33.909,39.492,12.5,12163830,17140141.1,3.535533906,0.073539105,0.002828427,0.777817459,0.01,5
14/05/1938,5.38,2,5.37,10.74,33.492,39.708,15,1050720,1474911.608,3.680065,0.205060967,0.024041631,0.014142136,0.001,4
28/05/1938,5.36,1,5.36,5.36,33.823,39.433,15,1185000,445142.8522,3.680065,0.073455916,0.20048557,0.072374459,0.001,4
31/05/1938,5.43,2,5.37,10.74,33.7405,40.893,15,164670,224478.1188,3.680065,0.045254834,0.238294985,0.084852814,0.001,4
21/07/1938,5.48,1,5.48,5.48,33.539,39.174,15,14203800,2234838.316,3.680065,0.187081449,0.917209727,0.090554386,0.001,4
16/12/1938,5.24,1,5.24,5.24,33.821,39.466,15,12748020,8068824.771,3.680065,0.598656724,2.887393682,0.107100126,0.001,4
08/02/1939,5.38,2,5.3,10.6,27.072,40.2745,15,-7197420,10197441.45,3.680065,0.748826081,3.606244584,0.113137085,0.001,4
08/03/1939,5.71,1,5.71,5.71,30.074,39.855,15,2417160,10071744.31,0.166006064,0.737880748,3.56798572,0.132283118,0.001,4
25/07/1939,5.44,1,5.44,5.44,29.862,39.794,15,19067820,9447747.821,0.990107595,0.683544987,3.378057787,0.227329494,0.001,4
08/09/1939,5.31,1,5.31,5.31,30.128,39.796,15,15937860,9245734.568,1.256903054,0.665954273,3.316570327,0.258099904,0.001,4
15/09/1939,5.93,1,5.93,5.93,29.49,39.694,15,603180,9214310.284,1.29840457,0.66321794,3.307005611,0.262886412,0.001,5
22/09/1939,6.49,1,6.49,6.49,27.142,39.204,35,523200,9182886,1.339906086,0.660481607,3.297440895,0.26767292,0.01,5
