time,mag_max,event_count,mag_mean,mag_sum,longitude_mean,latitude_mean,depth_mean,time_diff_float_mean,time_diff_float_std,depth_std,latitude_std,longitude_std,mag_scatter,weight_richter,weight_Mw
11/11/1978,2.8,1,2.8,2.8,28.979,40.168,10,1512420,826707.5004,3.680065,0.036908095,0.021100103,0.20978956,1.00E-06,1
28/04/1979,2.7,1,2.7,2.7,27.729,40.809,10,-19067760,1941559.099,6.495190528,0.013934935,0.017031471,0.447607322,1.00E-06,1
15/07/1979,2.9,1,2.9,2.9,28.27,40.184,10,-12561180,143149.3241,2.217743996,0.193197155,0.67779733,1.216068328,1.00E-06,1
02/03/1982,3.4,1,3.4,3.4,24.995,39.303,10,2434440,834677.8441,2.860568342,0.027898577,0.108830162,0.295699199,1.00E-05,2
06/06/1982,4,1,4,4,25.611,39.214,10,772860,4948818.047,0.237587878,0.010012632,0.657807296,0.455376767,1.00E-05,3
14/05/1983,2.9,1,2.9,2.9,24.225,39.076,10,1594140,2354313.532,1.090219226,0.160482882,1.277263075,1.236142923,1.00E-06,1
31/08/1984,3.6,1,3.6,3.6,24.287,39.138,10,383580,307273.0538,5.218780115,0.045319796,0.048194036,0.576528438,1.00E-05,2
16/09/1984,2.8,1,2.8,2.8,27.26,39.937,10,36660,260388.0346,4.817818727,0.042649509,0.047388562,0.599499674,1.00E-06,1
10/07/1985,2.7,1,2.7,2.7,24.089,41.18,10,7855980,7481484.478,3.096407083,0.983882788,2.806024901,0.68548823,1.00E-06,1
19/12/1985,4.1,3,3.866666667,11.6,26.60066667,39.55,13.6,26360,28705.74159,2.42693222,0.549825427,0.578129167,0.321455025,0.0001,3
16/04/1987,2.5,1,2.5,2.5,25.364,39.147,10,-9508740,11627718.44,2.098072997,0.22139707,0.251933428,0.227630265,1.00E-06,1
12/06/1987,2.8,2,2.6,5.2,24.2845,40.1435,10,-7134930,10154887.76,3.680065,0.293449314,0.381130555,0.282842712,1.00E-06,1
11/08/1987,2.7,1,2.7,2.7,24.363,39.98,10,-6624300,3737105.683,4.49108361,0.038255432,0.048747368,0.142138019,1.00E-06,1
12/08/1987,2.8,1,2.8,2.8,24.676,39.737,10,5255460,3727099.071,4.479617014,0.038279321,0.048733035,0.142376906,1.00E-06,1
14/07/1988,2.9,1,2.9,2.9,25.613,40.853,10,-7385400,254053.0136,3.680065,0.016263456,0.03470972,0.119900715,1.00E-06,1
28/10/1988,2.9,1,2.9,2.9,25.835,39.48,10,33540,12158998.08,3.680065,0.150127936,0.735936309,0.202723518,1.00E-06,1
22/02/1989,2.7,1,2.7,2.7,24.351,40.005,10,36480,39641.8086,0.024494897,0.508205666,1.122504604,0.240049128,1.00E-06,1
13/04/1989,2.9,1,2.9,2.9,25.953,40.384,10,-12438420,4336978.713,3.329392873,0.540679895,0.637104468,0.229950209,1.00E-06,1
24/06/1989,3.4,1,3.4,3.4,26.505,39.193,10,438840,330099.4443,3.680065,0.058637485,0.647814568,0.269748142,1.00E-05,2
25/06/1989,2.9,1,2.9,2.9,26.141,39.716,9.4,74940,371919.3107,3.680065,0.058061323,0.619975512,0.267129228,1.00E-06,1
01/11/1989,2.6,1,2.6,2.6,25.707,40.278,10,15844020,4615778.915,2.788021023,0.41870823,3.74766594,0.171725933,1.00E-06,1
16/11/1989,2.9,1,2.9,2.9,24.997,40.169,10,232260,1403539.28,3.772919754,0.12323861,1.196778227,0.095964492,1.00E-06,1
13/12/1989,2.5,1,2.5,2.5,24.267,41.744,10,7967460,181617.5395,4.734584887,0.159656848,1.035041944,0.352847571,1.00E-06,1
28/12/1989,2.5,1,2.5,2.5,24.331,39.566,5,904260,5249244.991,2.626943725,0.336165434,1.041626217,0.320540784,1.00E-06,1
10/01/1990,2.8,4,2.575,10.3,28.88275,39.66925,10,-5627730,11270743.18,3.680065,0.515777972,0.90145267,0.221735578,1.00E-06,1
29/01/1990,2.3,1,2.3,2.3,24.288,41.709,10,142680,223052.5915,5.600285707,0.518733535,0.180453651,0.311126984,1.00E-06,1
05/02/1990,2.4,1,2.4,2.4,24.236,40.852,10,-6561180,882688.8251,3.680065,0.238308535,0.841729376,0.4300071,1.00E-06,1
07/02/1990,2.7,1,2.7,2.7,24.104,39.882,10,-12413460,962632.8562,3.680065,0.450102922,1.101716255,0.409089225,1.00E-06,1
12/02/1990,2.6,5,2.32,11.6,28.2282,39.453,10,531720,1176524.335,3.680065,0.730696585,1.031371514,0.228035085,1.00E-06,1
11/03/1990,2.9,3,2.366666667,7.1,28.429,40.40366667,10,834000,1381347.683,3.680065,1.198479175,0.490792217,0.472581563,1.00E-06,1
12/03/1990,2.3,1,2.3,2.3,27.633,39.088,10,2406960,1290231.045,3.680065,1.104969872,0.451483856,0.450877435,1.00E-06,1
30/03/1990,2.3,1,2.3,2.3,24.044,39.836,10,139260,47810.67682,1.355318741,0.248400036,0.297237626,0.605710054,1.00E-06,1
11/05/1990,2.6,3,2.533333333,7.6,28.16366667,39.49566667,9.1,865020,1484457.317,1.558845727,0.343339968,1.187984147,0.115470054,1.00E-06,1
12/05/1990,2.4,2,2.35,4.7,28.2175,39.828,10,1312800,1855985.595,3.680065,0.946108873,0.857720526,0.070710678,1.00E-06,1
11/07/1990,2.4,1,2.4,2.4,28.194,40.474,10,2572080,1027591.34,0.266079653,0.818232128,0.389055831,0.538227214,1.00E-06,1
12/07/1990,2.1,1,2.1,2.1,29.478,40.327,10,2561880,1022218.017,0.287210331,0.810863768,0.444052985,0.537319317,1.00E-06,1
28/08/1990,3.5,1,3.5,3.5,25.781,39.098,10.8,-904560,7085003.414,1.737462377,0.238766314,0.41214052,0.671703789,1.00E-05,2
03/09/1990,2.4,1,2.4,2.4,24.026,40.901,10,7904580,9164849.146,2.389010768,0.164284438,0.20819158,0.689405285,1.00E-06,1
08/09/1990,2.9,1,2.9,2.9,25.955,39.39,10,10568460,10898053.92,2.931967761,0.102216207,0.038234131,0.704156532,1.00E-06,1
23/09/1990,2.6,1,2.6,2.6,25.04,41.158,33,853620,10193647.81,3.680065,0.266156594,0.282193855,0.252163309,1.00E-06,1
11/10/1990,2.6,1,2.6,2.6,27.015,39.219,10,2554740,2572418.574,3.680065,0.762695276,0.432489122,0.231773614,1.00E-06,1
12/10/1990,2.8,5,2.4,12,28.0706,39.8964,10,523968,1147313.392,3.680065,0.838894093,0.47015189,0.254950976,1.00E-06,1
14/10/1990,2.6,3,2.433333333,7.3,27.645,39.16633333,10,17320,27514.38896,3.680065,0.088234536,0.066053009,0.2081666,1.00E-06,1
15/10/1990,2.6,2,2.5,5,27.622,39.302,10,65160,31565.24671,3.680065,0.210717821,0.009899495,0.141421356,1.00E-06,1
16/10/1990,2.5,4,2.4,9.6,28.4535,39.268,10,14010,8900.314601,3.680065,0.379748162,1.607153695,0.115470054,1.00E-06,1
17/10/1990,2.5,5,2.44,12.2,28.445,39.7998,10,19128,20985.91242,3.680065,0.655309621,0.831123035,0.089442719,1.00E-06,1
20/10/1990,3.3,8,2.7375,21.9,27.55275,39.878,9.375,10282.5,11750.50364,1.767766953,1.00547487,1.410123779,0.38890873,1.00E-05,2
21/10/1990,2.7,4,2.475,9.9,27.6935,39.102,10,23430,33935.6273,3.680065,0.021710213,0.014753531,0.15,1.00E-06,1
23/10/1990,2.9,2,2.75,5.5,27.939,39.6685,7.5,86280,73397.68389,3.535533906,0.878933729,0.258801082,0.212132034,1.00E-06,1
25/10/1990,2.9,5,2.46,12.3,28.5736,40.6908,10,18948,8755.313815,3.680065,0.909198658,0.801106298,0.350713558,1.00E-06,1
26/10/1990,2.9,2,2.65,5.3,29.0675,39.5125,10,27120,22910.25971,3.680065,0.564978318,2.047074132,0.353553391,1.00E-06,1
31/10/1990,2.8,3,2.433333333,7.3,27.663,39.313,10,32640,31022.43704,3.680065,0.389962819,0.196084166,0.321455025,1.00E-06,1
01/11/1990,2.7,1,2.7,2.7,24.42,39.97,10,2702280,146041.0595,3.680065,0.44782895,0.274426517,0.300711277,1.00E-06,1
10/11/1990,2.7,5,2.54,12.7,28.2804,39.8602,10,531972,1181208.662,3.680065,0.968624127,0.979507682,0.114017543,1.00E-06,1
12/11/1990,2.7,5,2.5,12.5,28.9418,40.0446,9,535044,1174212.477,2.236067977,0.837664491,1.369563142,0.212132034,1.00E-06,1
13/11/1990,2.9,5,2.64,13.2,28.245,39.8156,10,-485712,1092324.568,3.680065,0.838666382,0.759756869,0.167332005,1.00E-06,1
14/11/1990,2.9,5,2.7,13.5,27.3928,39.3256,10,20700,16325.78941,3.680065,0.355067318,0.652801042,0.187082869,1.00E-06,1
15/11/1990,2.8,10,2.48,24.8,28.0693,39.4022,10,7338,17689.27472,3.680065,0.494944845,0.814801414,0.2394438,1.00E-06,1
17/11/1990,2.9,6,2.566666667,15.4,28.41633333,39.62533333,10,14190,25034.76543,3.680065,0.807955114,1.179061774,0.250333111,1.00E-06,1
19/11/1990,2.9,5,2.46,12.3,29.0156,39.435,10,17676,5399.766662,3.680065,0.515812466,0.952111496,0.328633535,1.00E-06,1
23/11/1990,2.7,5,2.44,12.2,27.9326,39.6394,10,14592,13168.01124,3.680065,0.765807613,0.546658303,0.270185122,1.00E-06,1
25/11/1990,2.7,4,2.575,10.3,28.038,39.366,10,20130,18478.8636,3.680065,0.272918791,0.493224763,0.25,1.00E-06,1
26/11/1990,2.7,9,2.355555556,21.2,28.04022222,39.82111111,10,9680,14390.21543,3.680065,0.899047752,0.745823668,0.187823794,1.00E-06,1
27/11/1990,2.9,4,2.6,10.4,26.8635,39.47375,10,21375,21098.70375,3.680065,0.792117573,1.783904052,0.21602469,1.00E-06,1
28/11/1990,2.4,5,2.24,11.2,28.6302,39.7752,10,11328,10637.39254,3.680065,0.756261661,1.001304749,0.181659021,1.00E-06,1
29/11/1990,2.7,7,2.414285714,16.9,28.21828571,39.51257143,10,15814.28571,23381.11692,3.680065,0.550796047,0.843268782,0.177281052,1.00E-06,1
10/12/1990,2.9,6,2.516666667,15.1,27.21883333,39.49966667,10,433070,1039153.099,3.680065,0.536588731,0.744334177,0.256255081,1.00E-06,1
13/12/1990,2.3,3,2.233333333,6.7,29.50166667,40.808,8.333333333,23540,31171.7372,2.886751346,0.298226424,0.921938357,0.057735027,1.00E-06,1
14/12/1990,2.5,2,2.4,4.8,27.5455,39.187,10,36690,42638.53891,3.680065,0.118793939,0.135057395,0.141421356,1.00E-06,1
20/12/1990,2.7,4,2.45,9.8,28.31875,39.84725,10,23325,12491.95341,3.680065,0.881295022,0.710771588,0.173205081,1.00E-06,1
21/12/1990,2.9,4,2.35,9.4,27.859,39.767,10,21630,13281.79205,3.680065,0.592974985,1.31462314,0.37859389,1.00E-06,1
24/12/1990,2.5,2,2.35,4.7,29.094,39.8975,10,33630,22273.86361,3.680065,1.120764248,2.186374167,0.212132034,1.00E-06,1
25/12/1990,2.5,2,2.4,4.8,27.609,39.1505,10,33510,44250.74237,3.680065,0.024748737,0.04384062,0.141421356,1.00E-06,1
27/12/1990,2.5,2,2.4,4.8,27.604,39.1195,10,24960,23589.08222,3.680065,0.026162951,0.050911688,0.141421356,1.00E-06,1
28/12/1990,2.5,1,2.5,2.5,27.605,39.101,10,78120,21373.37866,3.680065,0.235703342,0.304500269,0.110947571,1.00E-06,1
29/12/1990,2.9,1,2.9,2.9,24.701,39.009,10,100260,19157.67511,3.680065,0.445243733,0.558088849,0.080473785,1.00E-06,1
30/12/1990,2.5,4,2.475,9.9,28.74325,39.74125,10,18540,16941.97155,3.680065,0.654784125,0.81167743,0.05,1.00E-06,1
31/12/1990,2.2,1,2.2,2.2,28.162,39.476,10,118620,345733.5762,3.680065,0.587886721,1.221544123,0.142369515,1.00E-06,1
07/01/1991,2.4,1,2.4,2.4,27.77,40.319,10,-15040200,6280206.382,0.587947122,0.423890411,0.363357349,0.154699121,1.00E-06,1
13/01/1991,2.4,3,2.4,7.2,27.59366667,39.15166667,10,-9278060,16078593.69,3.680065,0.031564748,0.040991869,0,1.00E-06,1
15/01/1991,2.5,1,2.5,2.5,27.497,39.138,10,82380,25902.20695,3.680065,1.151434726,1.747393423,0.209157959,1.00E-06,1
16/01/1991,2.9,1,2.9,2.9,28.072,39.399,5,122220,22161.31689,3.680065,0.938742992,1.484069809,0.210149317,1.00E-06,1
17/01/1991,2.6,1,2.6,2.6,27.632,39.112,10,53280,18420.42683,3.680065,0.726051257,1.220746195,0.211140676,1.00E-06,1
20/01/1991,2.8,4,2.6,10.4,28.56575,39.92125,10,25185,9132.803513,3.680065,0.610102382,0.654911381,0.182574186,1.00E-06,1
26/01/1991,2.9,3,2.833333333,8.5,28.054,40.01733333,10,20660,4666.647619,3.680065,0.73875932,0.9999905,0.057735027,1.00E-06,1
01/02/1991,2.8,3,2.733333333,8.2,28.586,40.07566667,10,916860,1568673.891,3.680065,0.246173381,0.5855903,0.057735027,1.00E-06,1
05/02/1991,2.8,8,2.65,21.2,28.23525,39.679125,10,333480,934937.838,3.680065,0.823355059,0.825285708,0.106904497,1.00E-06,1
06/02/1991,2.5,1,2.5,2.5,28.525,41.161,10,-9876360,3502883.545,3.252691193,0.740001327,1.963850628,0.297655632,1.00E-06,1
07/02/1991,2.7,1,2.7,2.7,27.71,39.079,10,2658060,6070829.251,6.505382387,0.656647595,3.102415548,0.488406767,1.00E-06,1
13/02/1991,2.9,1,2.9,2.9,29.1,40.641,10,-25222440,5545355.471,6.505382387,0.753216544,2.896780857,0.493546101,1.00E-06,1
14/02/1991,2.4,1,2.4,2.4,29.271,40.127,10,54300,2802251.837,3.252691193,0.868759925,1.68967104,0.304508077,1.00E-06,1
15/02/1991,2.8,3,2.733333333,8.2,28.11733333,39.841,10,54260,59148.20369,3.680065,0.984303307,0.482561222,0.115470054,1.00E-06,1
24/02/1991,2.7,1,2.7,2.7,27.557,39.155,10,72960,19007.03028,3.680065,0.26587215,1.733472274,0.353553391,1.00E-06,1
26/02/1991,2.8,2,2.7,5.4,27.824,39.979,5,36360,6279.108217,7.071067812,1.216223664,0.429920923,0.141421356,1.00E-06,1
27/02/1991,2.9,4,2.725,10.9,29.33375,40.94625,10,25125,25773.91123,3.680065,0.627076484,0.05678835,0.221735578,1.00E-06,1
02/03/1991,2.9,2,2.8,5.6,28.1515,39.772,7.5,2552190,3572430.738,3.535533906,0.540229581,0.159099026,0.141421356,1.00E-06,1
02/04/1991,2.9,3,2.766666667,8.3,29.17966667,40.03133333,10,883920,1493690.608,3.680065,0.867606093,1.414526187,0.152752523,1.00E-06,1
05/04/1991,2.9,1,2.9,2.9,28.535,41.158,10,2679360,1357815.153,3.680065,0.799905289,2.077867301,0.340522796,1.00E-06,1
07/04/1991,3.1,3,2.9,8.7,28.537,39.997,10,893300,1530484.408,3.680065,1.045751883,0.877438887,0.173205081,1.00E-05,2
08/04/1991,2.4,1,2.4,2.4,24.375,41.658,10,7772820,2472925.559,3.680065,1.003696716,0.899908316,0.163753646,1.00E-06,1
13/04/1991,2.9,8,2.725,21.8,28.315375,39.918875,10,-2532937.5,7185131.313,3.680065,0.793420882,1.012255464,0.116496475,1.00E-06,1
14/04/1991,2.7,4,2.55,10.2,28.96375,40.02225,10,11280,19052.11799,3.680065,0.809771727,0.983830736,0.129099445,1.00E-06,1
16/04/1991,2.9,3,2.633333333,7.9,29.61866667,40.53233333,8.333333333,67960,71874.39878,2.886751346,0.162666325,0.527428036,0.251661148,1.00E-06,1
17/04/1991,2.8,1,2.8,2.8,28.915,40.4,10,88920,45292.05374,5.068787527,0.322793045,0.705313242,0.387369821,1.00E-06,1
19/04/1991,2.8,1,2.8,2.8,28.959,40.466,10,61020,30506.0529,3.625411854,0.390082167,0.620115564,0.311539247,1.00E-06,1
20/04/1991,2.8,3,2.7,8.1,29.27933333,39.80433333,10,36340,42302.3971,3.680065,0.297244568,0.357032678,0.1,1.00E-06,1
21/04/1991,2.8,8,2.675,21.4,28.52075,40.090625,10,11242.5,9389.620029,3.680065,0.734334672,0.865069238,0.103509834,1.00E-06,1
27/04/1991,2.8,6,2.65,15.9,28.635,39.924,9.35,13670,22769.26613,2.176005515,0.951521939,0.896968227,0.137840488,1.00E-06,1
28/04/1991,2.6,2,2.55,5.1,28.562,39.35,19.45,33420,43868.9047,13.36431816,0.342239682,1.228951586,0.070710678,1.00E-06,1
07/05/1991,2.9,2,2.85,5.7,28.3925,39.906,7.5,1285560,1787763.933,3.535533906,1.145512986,0.968029183,0.070710678,1.00E-06,1
13/05/1991,2.9,3,2.8,8.4,28.70366667,40.315,10,-5930700,10300287,3.680065,1.01011138,1.109500939,0.1,1.00E-06,1
15/05/1991,2.5,3,2.4,7.2,27.65833333,40.77966667,6.666666667,31340,25304.2368,2.886751346,0.183560163,3.133484535,0.1,1.00E-06,1
18/05/1991,2.7,4,2.65,10.6,28.78925,39.75175,10,43905,61891.33784,3.680065,0.45604267,0.808889517,0.057735027,1.00E-06,1
21/05/1991,2.6,1,2.6,2.6,28.543,41.148,10,77340,45380.26827,3.680065,0.932672138,1.395848986,0.170710678,1.00E-06,1
22/05/1991,2.9,6,2.7,16.2,29.132,39.80033333,10,19710,24442.72898,3.680065,0.936645006,0.896279198,0.141421356,1.00E-06,1
23/05/1991,2.7,3,2.666666667,8,28.60366667,39.98866667,10,29860,25935.0188,3.680065,0.786288327,0.944290916,0.057735027,1.00E-06,1
24/05/1991,2.8,3,2.633333333,7.9,28.217,40.37866667,10,24520,10369.8216,3.680065,0.325008205,0.846690026,0.2081666,1.00E-06,1
26/05/1991,2.7,1,2.7,2.7,28.476,41.125,10,60780,22020.44297,1.9916841,0.423259868,1.151331122,0.284363032,1.00E-06,1
