,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,4.5,"55 km ENE of Skýros, Greece",346264112100,1415316268194,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001bd0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001bd0&format=geojson,,,,,reviewed,0,312,us,p0001bd0,",usp0001bd0,",",us,",",origin,",,,,,mb,earthquake,"M 4.5 - 55 km ENE of Skýros, Greece",0,Point,"[25.173, 39.055, 10]",0
0,3.5,"52 km W of Eresós, Greece",344057259200,1415316267678,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001b0s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001b0s&format=geojson,,,,,reviewed,0,188,us,p0001b0s,",usp0001b0s,",",us,",",origin,",,,,,ml,earthquake,"M 3.5 - 52 km W of Eresós, Greece",1,Point,"[25.332, 39.136, 10]",1
0,4.4,"25 km ESE of Patitírion, Greece",343073069200,1415316267239,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001atp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001atp&format=geojson,,,,,reviewed,0,298,us,p0001atp,",usp0001atp,",",us,",",origin,",,,,,mb,earthquake,"M 4.4 - 25 km ESE of Patitírion, Greece",2,Point,"[24.138, 39.062, 10]",2
0,3.6,"30 km NW of Skýros, Greece",342899954000,1415316267212,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001asu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001asu&format=geojson,,,,,reviewed,0,199,us,p0001asu,",usp0001asu,",",us,",",origin,",,,,,,earthquake,"M 3.6 - 30 km NW of Skýros, Greece",3,Point,"[24.351, 39.122, 10]",3
0,4.2,"33 km E of Patitírion, Greece",342891341600,1415316267205,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001asn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001asn&format=geojson,,,,,reviewed,0,271,us,p0001asn,",usp0001asn,",",us,",",origin,",,,,,mb,earthquake,"M 4.2 - 33 km E of Patitírion, Greece",4,Point,"[24.251, 39.097, 10]",4
0,3.6,"18 km W of Bozcaada, Turkey",341489342900,1415316266923,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001ah5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001ah5&format=geojson,,,,,reviewed,0,199,us,p0001ah5,",usp0001ah5,",",us,",",origin,",,,,,ml,earthquake,"M 3.6 - 18 km W of Bozcaada, Turkey",5,Point,"[25.852, 39.809, 10]",5
0,3.6,"28 km ESE of Patitírion, Greece",341304983700,1415316266844,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001aen,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001aen&format=geojson,,,,,reviewed,0,199,us,p0001aen,",usp0001aen,",",us,",",origin,",,,,,ml,earthquake,"M 3.6 - 28 km ESE of Patitírion, Greece",6,Point,"[24.174, 39.047, 10]",6
0,4,"29 km WNW of Mýrina, Greece",341201046300,1415316266807,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001adf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001adf&format=geojson,,,,,reviewed,0,246,us,p0001adf,",usp0001adf,",",us,",",origin,",,,,,mb,earthquake,"M 4.0 - 29 km WNW of Mýrina, Greece",7,Point,"[24.768, 40.009, 10]",7
0,3.4,"5 km ENE of Dodurga, Turkey",341033998200,1415316266767,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001ac8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001ac8&format=geojson,,,,,reviewed,0,178,us,p0001ac8,",usp0001ac8,",",us,",",origin,",,,,,mb,earthquake,"M 3.4 - 5 km ENE of Dodurga, Turkey",8,Point,"[29.98, 39.82, 10]",8
0,5,"13 km NW of Tercan, Turkey",340686850000,1651109108030,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001aa8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001aa8&format=geojson,,,,,reviewed,0,385,us,p0001aa8,",iscgem637253,usp0001aa8,",",iscgem,us,",",origin,",,,,,mb,earthquake,"M 5.0 - 13 km NW of Tercan, Turkey",9,Point,"[40.254, 39.851, 35]",9
0,3.7,Aegean Sea,337736984800,1415316265972,,https://earthquake.usgs.gov/earthquakes/eventpage/usp00019tc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00019tc&format=geojson,,,,,reviewed,0,211,us,p00019tc,",usp00019tc,",",us,",",origin,",,,,,ml,earthquake,M 3.7 - Aegean Sea,10,Point,"[24.094, 39.004, 10]",10
