,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,4,"13 km S of Gümü?hac?köy, Turkey",841165302120,1415322061927,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007p4f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007p4f&format=geojson,,,,,reviewed,0,246,us,p0007p4f,",usp0007p4f,",",us,",",impact-text,origin,phase-data,",,,1.45,,mb,earthquake,"M 4.0 - 13 km S of Gümü?hac?köy, Turkey",0,Point,"[35.206, 40.754, 10]",0
0,3.1,"29 km S of Polatl?, Turkey",841156816410,1415322061907,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007p47,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007p47&format=geojson,,,,,reviewed,0,148,us,p0007p47,",usp0007p47,",",us,",",origin,phase-data,",,,1.24,,mb,earthquake,"M 3.1 - 29 km S of Polatl?, Turkey",1,Point,"[32.161, 39.313, 33]",1
0,4,"3 km SSW of Pétra, Greece",840948495000,1415322061442,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007p15,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007p15&format=geojson,,,,,reviewed,0,246,us,p0007p15,",usp0007p15,",",us,",",origin,phase-data,",,,1,,mb,earthquake,"M 4.0 - 3 km SSW of Pétra, Greece",2,Point,"[26.165, 39.3, 10]",2
0,4.1,"14 km SSW of Merzifon, Turkey",840593878240,1415322060316,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nv9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nv9&format=geojson,,,,,reviewed,0,259,us,p0007nv9,",usp0007nv9,",",us,",",origin,phase-data,",,,1.1,,mb,earthquake,"M 4.1 - 14 km SSW of Merzifon, Turkey",3,Point,"[35.42, 40.746, 33]",3
0,3.9,"22 km NE of Mecitözü, Turkey",840583532170,1415322060286,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nv2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nv2&format=geojson,,,,,reviewed,0,234,us,p0007nv2,",usp0007nv2,",",us,",",origin,phase-data,",,,1.4,,mb,earthquake,"M 3.9 - 22 km NE of Mecitözü, Turkey",4,Point,"[35.497, 40.653, 10]",4
0,4.5,"16 km W of Pétra, Greece",840416738180,1415322059863,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nsb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nsb&format=geojson,,,,,reviewed,0,312,us,p0007nsb,",usp0007nsb,",",us,",",impact-text,origin,phase-data,",,,1.1,,mb,earthquake,"M 4.5 - 16 km W of Pétra, Greece",5,Point,"[25.985, 39.341, 33]",5
0,3.7,"23 km W of ?skilip, Turkey",840392748310,1415322059826,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nrw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nrw&format=geojson,,,,,reviewed,0,211,us,p0007nrw,",usp0007nrw,",",us,",",origin,phase-data,",,,1.4,,mb,earthquake,"M 3.7 - 23 km W of ?skilip, Turkey",6,Point,"[34.195, 40.708, 10]",6
0,3.9,"7 km NNE of Mecitözü, Turkey",840106506660,1415322059131,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nm0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nm0&format=geojson,,,,,reviewed,0,234,us,p0007nm0,",usp0007nm0,",",us,",",origin,phase-data,",,,1,,mb,earthquake,"M 3.9 - 7 km NNE of Mecitözü, Turkey",7,Point,"[35.312, 40.583, 10]",7
0,3.3,"9 km WSW of Gümü?hac?köy, Turkey",840074399740,1415322059057,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nkp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nkp&format=geojson,,,,,reviewed,0,168,us,p0007nkp,",usp0007nkp,",",us,",",origin,phase-data,",,,1.2,,mb,earthquake,"M 3.3 - 9 km WSW of Gümü?hac?köy, Turkey",8,Point,"[35.112, 40.833, 10]",8
0,5.2,"24 km SSW of Mecitözü, Turkey",839991663750,1651264094898,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nhz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nhz&format=geojson,,,,,reviewed,0,416,us,p0007nhz,",iscgem980648,usp0007nhz,",",iscgem,us,",",origin,phase-data,",,,1.3,,mb,earthquake,"M 5.2 - 24 km SSW of Mecitözü, Turkey",9,Point,"[35.147, 40.329, 10]",9
0,5.7,"11 km SW of Merzifon, Turkey",839991581120,1651264093590,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nhy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nhy&format=geojson,,,6.829,,reviewed,0,500,us,p0007nhy,",gcmtb081496b,usp0007nhy,gcmt19960814025941,atlas19960814025943,iscgem980647,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,moment-tensor,origin,phase-data,shakemap,trump-shakemap,",,,1.3,,mwc,earthquake,"M 5.7 - 11 km SW of Merzifon, Turkey",10,Point,"[35.37, 40.801, 10]",10
0,4,"8 km WNW of Merzifon, Turkey",839989558960,1415322058813,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nhu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nhu&format=geojson,,,,,reviewed,0,246,us,p0007nhu,",usp0007nhu,",",us,",",origin,phase-data,",,,1,,mb,earthquake,"M 4.0 - 8 km WNW of Merzifon, Turkey",11,Point,"[35.373, 40.91, 10]",11
0,5.8,Central Turkey,839987702560,1651264092352,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007nhs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007nhs&format=geojson,,,7.546,,reviewed,0,518,us,p0007nhs,",gcmtb081496a,usp0007nhs,gcmt19960814015502,atlas19960814015506,iscgem980634,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,moment-tensor,origin,phase-data,shakemap,trump-shakemap,",,,1.1,,mwb,earthquake,M 5.8 - Central Turkey,12,Point,"[35.34, 40.754, 10]",12
0,3.7,"34 km NNW of Eresós, Greece",838699741230,1415322051146,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007muw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007muw&format=geojson,,,,,reviewed,0,211,us,p0007muw,",usp0007muw,",",us,",",origin,phase-data,",,,0.6,,md,earthquake,"M 3.7 - 34 km NNW of Eresós, Greece",13,Point,"[25.769, 39.45, 5]",13
0,3.9,"18 km NE of Bingöl, Turkey",836120400260,1415322041608,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007kgj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007kgj&format=geojson,,,,,reviewed,0,234,us,p0007kgj,",usp0007kgj,",",us,",",impact-text,origin,phase-data,",,,1.1,,mb,earthquake,"M 3.9 - 18 km NE of Bingöl, Turkey",14,Point,"[40.641, 39.003, 10]",14
0,3.6,"29 km NE of Kangal, Turkey",834075209340,1415322034789,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007j81,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0007j81&format=geojson,,,,,reviewed,0,199,us,p0007j81,",usp0007j81,",",us,",",origin,phase-data,",,,1.4,,mb,earthquake,"M 3.6 - 29 km NE of Kangal, Turkey",15,Point,"[37.641, 39.414, 33]",15
