,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,3.16,"14km N of Cabazon, CA",-284060485150,1454009945250,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347796,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347796&format=geojson,,,,,reviewed,0,154,ci,3347796,",ci3347796,",",ci,",",origin,phase-data,",9,0.4863,0.57,149,ml,earthquake,"M 3.2 - 14km N of Cabazon, CA",0,Point,"[-116.7936667, 34.0481667, 6]",0
0,4,"14km SSE of Salton City, CA",-284091575780,1454009508170,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347795,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347795&format=geojson,,,,,reviewed,0,246,ci,3347795,",ci3347795,",",ci,",",origin,phase-data,",5,0.4827,0.36,212,ml,earthquake,"M 4.0 - 14km SSE of Salton City, CA",1,Point,"[-115.879, 33.1946667, 6]",1
0,3.72,"9km E of Ocotillo Wells, CA",-284091974510,1454010013950,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347794,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347794&format=geojson,,,,,reviewed,0,213,ci,3347794,",ci3347794,",",ci,",",origin,phase-data,",6,,0.68,182,ml,earthquake,"M 3.7 - 9km E of Ocotillo Wells, CA",2,Point,"[-116.0413333, 33.1575, 6]",2
0,2.92,"12km WNW of Johannesburg, CA",-284203625400,1454009446160,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347792,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347792&format=geojson,,,,,reviewed,0,131,ci,3347792,",ci3347792,",",ci,",",origin,phase-data,",8,0.403,0.6,150,ml,earthquake,"M 2.9 - 12km WNW of Johannesburg, CA",3,Point,"[-117.7453333, 35.4303333, 6]",3
0,2.8,"5km SW of Calabasas, CA",-284433171260,1454009702700,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347790,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347790&format=geojson,,,,,reviewed,0,121,ci,3347790,",ci3347790,",",ci,",",origin,phase-data,",6,0.4251,0.37,231,ml,earthquake,"M 2.8 - 5km SW of Calabasas, CA",4,Point,"[-118.6833333, 34.1318333, 6]",4
0,3,"12km W of Lake Hughes, CA",-284707205110,1454009702200,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347800,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347800&format=geojson,,,,,reviewed,0,138,ci,3347800,",ci3347800,",",ci,",",origin,phase-data,",8,0.6138,0.61,159,ml,earthquake,"M 3.0 - 12km W of Lake Hughes, CA",5,Point,"[-118.5781667, 34.663, 6]",5
0,3.12,"1km N of Ocotillo Wells, CA",-284845720630,1454010212920,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347788,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347788&format=geojson,,,,,reviewed,0,150,ci,3347788,",ci3347788,",",ci,",",origin,phase-data,",4,0.6516,0.54,275,ml,earthquake,"M 3.1 - 1km N of Ocotillo Wells, CA",6,Point,"[-116.1326667, 33.149, 6]",6
0,3.12,"24km SE of Fort Irwin, CA",-284953306100,1454009445610,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347787,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347787&format=geojson,,,,,reviewed,0,150,ci,3347787,",ci3347787,",",ci,",",origin,phase-data,",5,1.141,0.68,265,ml,earthquake,"M 3.1 - 24km SE of Fort Irwin, CA",7,Point,"[-116.4988333, 35.1083333, 6]",7
0,2.86,"2km WSW of Loma Linda, CA",-286437136020,1454010732680,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347785,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347785&format=geojson,,,,,reviewed,0,126,ci,3347785,",ci3347785,",",ci,",",origin,phase-data,",6,0.09333,0.39,161,ml,earthquake,"M 2.9 - 2km WSW of Loma Linda, CA",8,Point,"[-117.2781667, 34.0403333, 17.79]",8
0,2.79,"15km NNE of Apple Valley, CA",-286514476210,1459616280075,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347784,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347784&format=geojson,,,,,reviewed,0,120,ci,3347784,",ci3347784,",",ci,",",nearby-cities,origin,phase-data,",8,0.6666,0.46,143,ml,quarry blast,"M 2.8 Quarry Blast - 15km NNE of Apple Valley, CA",9,Point,"[-117.1491667, 34.6348333, 0.01]",9
0,3.27,"11km S of Isla Vista, CA",-286623372550,1454010464770,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3347782,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3347782&format=geojson,,,,,reviewed,0,165,ci,3347782,",ci3347782,",",ci,",",origin,phase-data,",8,0.1804,0.39,228,ml,earthquake,"M 3.3 - 11km S of Isla Vista, CA",10,Point,"[-119.8758333, 34.3186667, 4]",10
